Filename,Name from collaborator,Sample Name,Species,Matrix,Growth-Harvest Conditions,Treatment,Project ID
BRYU005_Neg_SA0057_QE2_HILIC_113,SA0057,BRYU005_SA0057,None,CleanMedia,Clean media 9 SAAC2-noVitaminMix-noVk-wGlucose passage 0 replicate 3,SAAC2-noVitaminMix-noVk-wGlucose,BRYU005
BRYU005_Pos_SA0023_QE2_HILIC_114,SA0023,BRYU005_SA0023,None,CleanMedia,Clean media 23 SAAC2-wSugarMix-onlyAAA-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-onlyAAA-wBileAcids,BRYU005
BRYU005_Neg_SA0023_QE2_HILIC_115,SA0023,BRYU005_SA0023,None,CleanMedia,Clean media 23 SAAC2-wSugarMix-onlyAAA-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-onlyAAA-wBileAcids,BRYU005
BRYU005_Pos_SA0042_QE2_HILIC_116,SA0042,BRYU005_SA0042,None,CleanMedia,Clean media 18 SAAC2-noAA-wMucin passage 0 replicate 2,SAAC2-noAA-wMucin,BRYU005
BRYU005_Neg_SA0042_QE2_HILIC_117,SA0042,BRYU005_SA0042,None,CleanMedia,Clean media 18 SAAC2-noAA-wMucin passage 0 replicate 2,SAAC2-noAA-wMucin,BRYU005
BRYU005_Pos_SA0071_QE2_HILIC_118,SA0071,BRYU005_SA0071,None,CleanMedia,Clean media 23 SAAC2-wSugarMix-onlyAAA-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-onlyAAA-wBileAcids,BRYU005
BRYU005_Neg_SA0071_QE2_HILIC_119,SA0071,BRYU005_SA0071,None,CleanMedia,Clean media 23 SAAC2-wSugarMix-onlyAAA-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-onlyAAA-wBileAcids,BRYU005
BRYU005_Pos_SA0040_QE2_HILIC_120,SA0040,BRYU005_SA0040,None,CleanMedia,Clean media 16 SAAC2-wSugarMix-onlyAAA passage 0 replicate 2,SAAC2-wSugarMix-onlyAAA,BRYU005
BRYU005_Neg_SA0040_QE2_HILIC_121,SA0040,BRYU005_SA0040,None,CleanMedia,Clean media 16 SAAC2-wSugarMix-onlyAAA passage 0 replicate 2,SAAC2-wSugarMix-onlyAAA,BRYU005
BRYU005_Pos_SA0020_QE2_HILIC_122,SA0020,BRYU005_SA0020,None,CleanMedia,Clean media 20 SAAC2-wSugarMix-wMucin-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-wMucin-wBileAcids,BRYU005
BRYU005_Neg_SA0020_QE2_HILIC_123,SA0020,BRYU005_SA0020,None,CleanMedia,Clean media 20 SAAC2-wSugarMix-wMucin-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-wMucin-wBileAcids,BRYU005
BRYU005_Pos_SA0029_QE2_HILIC_124,SA0029,BRYU005_SA0029,None,CleanMedia,Clean media 5 SAAC2-wVitaminMix-noVk-noGlucose passage 0 replicate 2,SAAC2-wVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Neg_SA0029_QE2_HILIC_125,SA0029,BRYU005_SA0029,None,CleanMedia,Clean media 5 SAAC2-wVitaminMix-noVk-noGlucose passage 0 replicate 2,SAAC2-wVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Pos_SA0065_QE2_HILIC_130,SA0065,BRYU005_SA0065,None,CleanMedia,Clean media 17 SAAC2-noAA-wPeptone passage 0 replicate 3,SAAC2-noAA-wPeptone,BRYU005
BRYU005_Neg_SA0065_QE2_HILIC_131,SA0065,BRYU005_SA0065,None,CleanMedia,Clean media 17 SAAC2-noAA-wPeptone passage 0 replicate 3,SAAC2-noAA-wPeptone,BRYU005
BRYU005_Pos_SA0024_QE2_HILIC_132,SA0024,BRYU005_SA0024,None,CleanMedia,Clean media 24 SAAC2-noAA-wMucin-wBileAcids passage 0 replicate 1,SAAC2-noAA-wMucin-wBileAcids,BRYU005
BRYU005_Neg_SA0024_QE2_HILIC_133,SA0024,BRYU005_SA0024,None,CleanMedia,Clean media 24 SAAC2-noAA-wMucin-wBileAcids passage 0 replicate 1,SAAC2-noAA-wMucin-wBileAcids,BRYU005
BRYU005_Pos_SA0028_QE2_HILIC_134,SA0028,BRYU005_SA0028,None,CleanMedia,Clean media 4 MegaMedia-wSugarMix passage 0 replicate 2,MegaMedia-wSugarMix,BRYU005
BRYU005_Neg_SA0028_QE2_HILIC_135,SA0028,BRYU005_SA0028,None,CleanMedia,Clean media 4 MegaMedia-wSugarMix passage 0 replicate 2,MegaMedia-wSugarMix,BRYU005
BRYU005_Pos_SA0053_QE2_HILIC_136,SA0053,BRYU005_SA0053,None,CleanMedia,Clean media 5 SAAC2-wVitaminMix-noVk-noGlucose passage 0 replicate 3,SAAC2-wVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Neg_SA0053_QE2_HILIC_137,SA0053,BRYU005_SA0053,None,CleanMedia,Clean media 5 SAAC2-wVitaminMix-noVk-noGlucose passage 0 replicate 3,SAAC2-wVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Pos_SA0001_QE2_HILIC_138,SA0001,BRYU005_SA0001,None,CleanMedia,Clean media 1 BHI-wVk-wHemin passage 0 replicate 1,BHI-wVk-wHemin,BRYU005
BRYU005_Neg_SA0001_QE2_HILIC_139,SA0001,BRYU005_SA0001,None,CleanMedia,Clean media 1 BHI-wVk-wHemin passage 0 replicate 1,BHI-wVk-wHemin,BRYU005
BRYU005_Pos_SA0017_QE2_HILIC_140,SA0017,BRYU005_SA0017,None,CleanMedia,Clean media 17 SAAC2-noAA-wPeptone passage 0 replicate 1,SAAC2-noAA-wPeptone,BRYU005
BRYU005_Neg_SA0017_QE2_HILIC_141,SA0017,BRYU005_SA0017,None,CleanMedia,Clean media 17 SAAC2-noAA-wPeptone passage 0 replicate 1,SAAC2-noAA-wPeptone,BRYU005
BRYU005_Pos_SA0048_QE2_HILIC_142,SA0048,BRYU005_SA0048,None,CleanMedia,Clean media 24 SAAC2-noAA-wMucin-wBileAcids passage 0 replicate 2,SAAC2-noAA-wMucin-wBileAcids,BRYU005
BRYU005_Neg_SA0048_QE2_HILIC_143,SA0048,BRYU005_SA0048,None,CleanMedia,Clean media 24 SAAC2-noAA-wMucin-wBileAcids passage 0 replicate 2,SAAC2-noAA-wMucin-wBileAcids,BRYU005
BRYU005_Pos_SA0056_QE2_HILIC_144,SA0056,BRYU005_SA0056,None,CleanMedia,Clean media 8 SAAC2-noVitaminMix-noVk-noGlucose passage 0 replicate 3,SAAC2-noVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Neg_SA0056_QE2_HILIC_145,SA0056,BRYU005_SA0056,None,CleanMedia,Clean media 8 SAAC2-noVitaminMix-noVk-noGlucose passage 0 replicate 3,SAAC2-noVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Pos_SA0047_QE2_HILIC_146,SA0047,BRYU005_SA0047,None,CleanMedia,Clean media 23 SAAC2-wSugarMix-onlyAAA-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-onlyAAA-wBileAcids,BRYU005
BRYU005_Neg_SA0047_QE2_HILIC_147,SA0047,BRYU005_SA0047,None,CleanMedia,Clean media 23 SAAC2-wSugarMix-onlyAAA-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-onlyAAA-wBileAcids,BRYU005
BRYU005_Pos_SA0055_QE2_HILIC_148,SA0055,BRYU005_SA0055,None,CleanMedia,Clean media 7 SAAC2-wVitaminMix-wVk-wGlucose passage 0 replicate 3,SAAC2-wVitaminMix-wVk-wGlucose,BRYU005
BRYU005_Neg_SA0055_QE2_HILIC_149,SA0055,BRYU005_SA0055,None,CleanMedia,Clean media 7 SAAC2-wVitaminMix-wVk-wGlucose passage 0 replicate 3,SAAC2-wVitaminMix-wVk-wGlucose,BRYU005
BRYU005_Pos_SA0013_QE2_HILIC_154,SA0013,BRYU005_SA0013,None,CleanMedia,Clean media 13 SAAC2-wSugarMix-wSCFAC passage 0 replicate 1,SAAC2-wSugarMix-wSCFAC,BRYU005
